Datawrappergemeente,Gemiddeldinkomenperinwoner,Gemeente
Daverdisse,14946,Daverdisse
Herbeumont,16570,Herbeumont
L'Église,18298,Léglise
Libin,17235,Libin
Neufchâteau,17233,Neufchâteau
Paliseul,15941,Paliseul
Saint-Hubert,16632,Saint-Hubert
Tellin,17160,Tellin
Wellin,16689,Wellin
Libramont-Chevigny,17786,Libramont-Chevigny
Chiny,17104,Chiny
Étalle,21316,Etalle
Florenville,16650,Florenville
Meix-devant-Virton,17036,Meix-devant-Virton
Musson,18591,Musson
Saint-Léger,20489,Saint-Léger
Tintigny,18656,Tintigny
Virton,17540,Virton
Habay,19946,Habay
Rouvroy,16839,Rouvroy
Anhée,17272,Anhée
Beauraing,15892,Beauraing
Bièvre,15450,Bièvre
Ciney,17541,Ciney
Dinant,15832,Dinant
